PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000001D8 [FE0407A3] X15=00000000 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=000001DC [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=000001E0 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=000001E4 [FE0405A3] X11=00000000 X08=00500000 X00=00000000 sb      zero,-21(s0/fp)
PC=000001E8 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001EC [FEF40523] X10=00000000 X08=00500000 X15=FFFFFFFF sb      a5,-22(s0/fp)
PC=000001F0 [FEB40703] X14=00000000 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000001F4 [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000020C [00E7DA63] X20=00000000 X15=000000FF X14=00000000 bge     a5,a4,20
PC=0000020C [FEE44783] X15=00000000 X08=00500000 X14=00000000 lbu     a5,-18(s0/fp)
PC=00000210 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000214 [FEF40723] X14=00000000 X08=00500000 X15=00000001 sb      a5,-18(s0/fp)
PC=00000218 [FEB40703] X14=00000000 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=0000021C [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000224 [00F75A63] X20=00000000 X14=00000000 X15=000000FF bge     a4,a5,20
PC=00000224 [FEC44783] X15=00000000 X08=00500000 X12=00000000 lbu     a5,-20(s0/fp)
PC=00000228 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=0000022C [FEF40623] X12=00000000 X08=00500000 X15=00000001 sb      a5,-20(s0/fp)
PC=00000230 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000240 [FEB40703] X14=00000000 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000244 [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000025C [00F71A63] X20=00000000 X14=00000000 X15=000000FF bne     a4,a5,20
PC=0000025C [FEF44783] X15=00000000 X08=00500000 X15=000000FF lbu     a5,-17(s0/fp)
PC=00000260 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000264 [FEF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-17(s0/fp)
PC=00000268 [FEB40703] X14=00000000 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=0000026C [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000284 [00F74A63] X20=00000000 X14=00000000 X15=000000FF blt     a4,a5,20
PC=00000284 [FEE44783] X15=00000001 X08=00500000 X14=00000000 lbu     a5,-18(s0/fp)
PC=00000288 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=0000028C [FEF40723] X14=00000000 X08=00500000 X15=00000002 sb      a5,-18(s0/fp)
PC=00000290 [FEB40703] X14=00000000 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000294 [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000029C [00E7CA63] X20=00000000 X15=000000FF X14=00000000 blt     a5,a4,20
PC=0000029C [FEC44783] X15=00000001 X08=00500000 X12=00000000 lbu     a5,-20(s0/fp)
PC=000002A0 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=000002A4 [FEF40623] X12=00000000 X08=00500000 X15=00000002 sb      a5,-20(s0/fp)
PC=000002A8 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=000002B8 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000002BC [FE0407A3] X15=00000002 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=000002C0 [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=000002C4 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=000002C8 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002CC [FEF405A3] X11=00000000 X08=00500000 X15=FFFFFFFF sb      a5,-21(s0/fp)
PC=000002D0 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=000002D4 [FEF40523] X10=00000000 X08=00500000 X15=FFFFFFFE sb      a5,-22(s0/fp)
PC=000002D8 [FEB40703] X14=000000FF X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000002DC [FEA40783] X15=000000FE X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000002E4 [00E7DA63] X20=00000000 X15=000000FE X14=000000FF bge     a5,a4,20
PC=000002E4 [FED44783] X15=00000000 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=000002E8 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000002EC [FEF406A3] X13=00000000 X08=00500000 X15=00000001 sb      a5,-19(s0/fp)
PC=000002F0 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000300 [FEB40703] X14=000000FF X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000304 [FEA40783] X15=000000FE X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000031C [00F75A63] X20=00000000 X14=000000FF X15=000000FE bge     a4,a5,20
PC=0000031C [FEF44783] X15=00000000 X08=00500000 X15=000000FE lbu     a5,-17(s0/fp)
PC=00000320 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000324 [FEF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-17(s0/fp)
PC=00000328 [FEB40703] X14=000000FF X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=0000032C [FEA40783] X15=000000FE X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000344 [00F71A63] X20=00000000 X14=000000FF X15=000000FE bne     a4,a5,20
PC=00000344 [FEF44783] X15=00000001 X08=00500000 X15=000000FE lbu     a5,-17(s0/fp)
PC=00000348 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=0000034C [FEF407A3] X15=00000002 X08=00500000 X15=00000002 sb      a5,-17(s0/fp)
PC=00000350 [FEB40703] X14=000000FF X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000354 [FEA40783] X15=000000FE X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000035C [00F74A63] X20=00000000 X14=000000FF X15=000000FE blt     a4,a5,20
PC=0000035C [FED44783] X15=00000001 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
