PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=000001D8 [FEF407A3] X15=0000000A X08=00500000 X15=0000000A sb      a5,-17(s0/fp)
PC=000001DC [01400793] X15=00000014 X00=00000000 X20=00000000 addi    a5,zero,20
PC=000001E0 [FEF40723] X14=00000000 X08=00500000 X15=00000014 sb      a5,-18(s0/fp)
PC=000001E4 [FEF44703] X14=0000000A X08=00500000 X15=00000014 lbu     a4,-17(s0/fp)
PC=000001E8 [FEE44783] X15=00000014 X08=00500000 X14=0000000A lbu     a5,-18(s0/fp)
PC=000001EC [00F707B3] X15=0000001E X14=0000000A X15=00000014 add     a5,a4,a5
PC=000001F0 [0FF7F793] X15=0000001E X15=0000001E X31=00000000 andi    a5,a5,255
PC=000001F4 [FEF406A3] X13=00000000 X08=00500000 X15=0000001E sb      a5,-19(s0/fp)
PC=000001F8 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000001FC [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=00000200 [FEF407A3] X15=FFFFFFEC X08=00500000 X15=FFFFFFEC sb      a5,-17(s0/fp)
PC=00000204 [FE200793] X15=FFFFFFE2 X00=00000000 X02=004FFFE0 addi    a5,zero,-30
PC=00000208 [FEF40723] X14=0000000A X08=00500000 X15=FFFFFFE2 sb      a5,-18(s0/fp)
PC=0000020C [FEF44703] X14=000000EC X08=00500000 X15=FFFFFFE2 lbu     a4,-17(s0/fp)
PC=00000210 [FEE44783] X15=000000E2 X08=00500000 X14=000000EC lbu     a5,-18(s0/fp)
PC=00000214 [00F707B3] X15=000001CE X14=000000EC X15=000000E2 add     a5,a4,a5
PC=00000218 [0FF7F793] X15=000000CE X15=000001CE X31=00000000 andi    a5,a5,255
PC=0000021C [FEF406A3] X13=00000000 X08=00500000 X15=000000CE sb      a5,-19(s0/fp)
PC=00000220 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=00000224 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=00000228 [FEF407A3] X15=FFFFFFFE X08=00500000 X15=FFFFFFFE sb      a5,-17(s0/fp)
PC=0000022C [00200793] X15=00000002 X00=00000000 X02=004FFFE0 addi    a5,zero,2
PC=00000230 [FEF40723] X14=000000EC X08=00500000 X15=00000002 sb      a5,-18(s0/fp)
PC=00000234 [FEF44703] X14=000000FE X08=00500000 X15=00000002 lbu     a4,-17(s0/fp)
PC=00000238 [FEE44783] X15=00000002 X08=00500000 X14=000000FE lbu     a5,-18(s0/fp)
PC=0000023C [00F707B3] X15=00000100 X14=000000FE X15=00000002 add     a5,a4,a5
PC=00000240 [0FF7F793] X15=00000000 X15=00000100 X31=00000000 andi    a5,a5,255
PC=00000244 [FEF406A3] X13=00000000 X08=00500000 X15=00000000 sb      a5,-19(s0/fp)
PC=00000248 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=0000024C [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=00000250 [FEF407A3] X15=0000000A X08=00500000 X15=0000000A sb      a5,-17(s0/fp)
PC=00000254 [FFB00793] X15=FFFFFFFB X00=00000000 X27=00000000 addi    a5,zero,-5
PC=00000258 [FEF40723] X14=000000FE X08=00500000 X15=FFFFFFFB sb      a5,-18(s0/fp)
PC=0000025C [FEF44703] X14=0000000A X08=00500000 X15=FFFFFFFB lbu     a4,-17(s0/fp)
PC=00000260 [FEE44783] X15=000000FB X08=00500000 X14=0000000A lbu     a5,-18(s0/fp)
PC=00000264 [00F707B3] X15=00000105 X14=0000000A X15=000000FB add     a5,a4,a5
PC=00000268 [0FF7F793] X15=00000005 X15=00000105 X31=00000000 andi    a5,a5,255
PC=0000026C [FEF406A3] X13=00000000 X08=00500000 X15=00000005 sb      a5,-19(s0/fp)
PC=00000270 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=00000274 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=00000278 [FEF407A3] X15=00000005 X08=00500000 X15=00000005 sb      a5,-17(s0/fp)
PC=0000027C [FF600793] X15=FFFFFFF6 X00=00000000 X22=00000000 addi    a5,zero,-10
PC=00000280 [FEF40723] X14=0000000A X08=00500000 X15=FFFFFFF6 sb      a5,-18(s0/fp)
PC=00000284 [FEF44703] X14=00000005 X08=00500000 X15=FFFFFFF6 lbu     a4,-17(s0/fp)
PC=00000288 [FEE44783] X15=000000F6 X08=00500000 X14=00000005 lbu     a5,-18(s0/fp)
PC=0000028C [00F707B3] X15=000000FB X14=00000005 X15=000000F6 add     a5,a4,a5
PC=00000290 [0FF7F793] X15=000000FB X15=000000FB X31=00000000 andi    a5,a5,255
PC=00000294 [FEF406A3] X13=00000000 X08=00500000 X15=000000FB sb      a5,-19(s0/fp)
PC=00000298 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=0000029C [00F00793] X15=0000000F X00=00000000 X15=000000FB addi    a5,zero,15
PC=000002A0 [FEF407A3] X15=0000000F X08=00500000 X15=0000000F sb      a5,-17(s0/fp)
PC=000002A4 [FF000793] X15=FFFFFFF0 X00=00000000 X16=00000000 addi    a5,zero,-16
PC=000002A8 [FEF40723] X14=00000005 X08=00500000 X15=FFFFFFF0 sb      a5,-18(s0/fp)
PC=000002AC [FEF44703] X14=0000000F X08=00500000 X15=FFFFFFF0 lbu     a4,-17(s0/fp)
PC=000002B0 [FEE44783] X15=000000F0 X08=00500000 X14=0000000F lbu     a5,-18(s0/fp)
PC=000002B4 [00F707B3] X15=000000FF X14=0000000F X15=000000F0 add     a5,a4,a5
PC=000002B8 [0FF7F793] X15=000000FF X15=000000FF X31=00000000 andi    a5,a5,255
PC=000002BC [FEF406A3] X13=00000000 X08=00500000 X15=000000FF sb      a5,-19(s0/fp)
PC=000002C0 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000002C4 [FAA00793] X15=FFFFFFAA X00=00000000 X10=00000000 addi    a5,zero,-86
PC=000002C8 [FEF407A3] X15=FFFFFFAA X08=00500000 X15=FFFFFFAA sb      a5,-17(s0/fp)
PC=000002CC [05500793] X15=00000055 X00=00000000 X21=00000000 addi    a5,zero,85
PC=000002D0 [FEF40723] X14=0000000F X08=00500000 X15=00000055 sb      a5,-18(s0/fp)
PC=000002D4 [FEF44703] X14=000000AA X08=00500000 X15=00000055 lbu     a4,-17(s0/fp)
PC=000002D8 [FEE44783] X15=00000055 X08=00500000 X14=000000AA lbu     a5,-18(s0/fp)
PC=000002DC [00F707B3] X15=000000FF X14=000000AA X15=00000055 add     a5,a4,a5
PC=000002E0 [0FF7F793] X15=000000FF X15=000000FF X31=00000000 andi    a5,a5,255
