PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [EE010113] X02=004FFEE0 X02=00500000 X00=00000000 addi    sp,sp,-288
PC=000001CC [10812E23] X28=00000000 X02=004FFEE0 X08=00000000 sw      s0/fp,284(sp)
PC=000001D0 [11212C23] X24=00000000 X02=004FFEE0 X18=00000000 sw      s2,280(sp)
PC=000001D4 [11312A23] X20=00000000 X02=004FFEE0 X19=00000000 sw      s3,276(sp)
PC=000001D8 [11412823] X16=00000000 X02=004FFEE0 X20=00000000 sw      s4,272(sp)
PC=000001DC [11512623] X12=00000000 X02=004FFEE0 X21=00000000 sw      s5,268(sp)
PC=000001E0 [11612423] X08=00000000 X02=004FFEE0 X22=00000000 sw      s6,264(sp)
PC=000001E4 [11712223] X04=00000000 X02=004FFEE0 X23=00000000 sw      s7,260(sp)
PC=000001E8 [11812023] X00=00000000 X02=004FFEE0 X24=00000000 sw      s8,256(sp)
PC=000001EC [0F912E23] X28=00000000 X02=004FFEE0 X25=00000000 sw      s9,252(sp)
PC=000001F0 [0FA12C23] X24=00000000 X02=004FFEE0 X26=00000000 sw      s10,248(sp)
PC=000001F4 [0FB12A23] X20=00000000 X02=004FFEE0 X27=00000000 sw      s11,244(sp)
PC=000001F8 [12010413] X08=00500000 X02=004FFEE0 X00=00000000 addi    s0/fp,sp,288
PC=000001FC [00200793] X15=00000002 X00=00000000 X02=004FFEE0 addi    a5,zero,2
PC=00000200 [FCF42623] X12=00000000 X08=00500000 X15=00000002 sw      a5,-52(s0/fp)
PC=00000204 [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=00000208 [FCF42423] X08=00500000 X08=00500000 X15=00000004 sw      a5,-56(s0/fp)
PC=0000020C [FCC42783] X15=00000002 X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=00000210 [00078513] X10=00000002 X15=00000002 X00=00000000 addi    a0,a5,0
PC=00000214 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000218 [FC842783] X15=00000004 X08=00500000 X08=00500000 lw      a5,-56(s0/fp)
PC=0000021C [00078613] X12=00000004 X15=00000004 X00=00000000 addi    a2,a5,0
PC=00000220 [00000693] X13=00000000 X00=00000000 X00=00000000 addi    a3,zero,0
PC=00000224 [02C58733] X14=00000000 X11=00000000 X12=00000004 mul     a4,a1,a2
PC=00000228 [02A687B3] X15=00000000 X13=00000000 X10=00000002 mul     a5,a3,a0
PC=0000022C [00F70733] X14=00000000 X14=00000000 X15=00000000 add     a4,a4,a5
PC=00000230 [02C507B3] X15=00000008 X10=00000002 X12=00000004 mul     a5,a0,a2
PC=00000234 [02C538B3] X17=00000008 X10=00000002 X12=00000004 mulhu   a7,a0,a2
PC=00000238 [00078813] X16=00000008 X15=00000008 X00=00000000 addi    a6,a5,0
PC=0000023C [011707B3] X15=00000008 X14=00000000 X17=00000008 add     a5,a4,a7
PC=00000240 [00078893] X17=00000008 X15=00000008 X00=00000000 addi    a7,a5,0
PC=00000244 [FD042023] X00=00000000 X08=00500000 X16=00000008 sw      a6,-64(s0/fp)
PC=00000248 [FD142223] X04=00000000 X08=00500000 X17=00000008 sw      a7,-60(s0/fp)
PC=0000024C [FD042023] X00=00000000 X08=00500000 X16=00000008 sw      a6,-64(s0/fp)
PC=00000250 [FD142223] X04=00000000 X08=00500000 X17=00000008 sw      a7,-60(s0/fp)
PC=00000254 [00000613] X12=00000000 X00=00000000 X00=00000000 addi    a2,zero,0
PC=00000258 [00000693] X13=00000000 X00=00000000 X00=00000000 addi    a3,zero,0
PC=0000025C [FCC42023] X00=00000000 X08=00500000 X12=00000000 sw      a2,-64(s0/fp)
PC=00000260 [FCD42223] X04=00000000 X08=00500000 X13=00000000 sw      a3,-60(s0/fp)
PC=00000264 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000268 [FCF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-52(s0/fp)
PC=0000026C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000270 [FCF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-56(s0/fp)
PC=00000274 [FCC42783] X15=FFFFFFFF X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=00000278 [00078E13] X28=FFFFFFFF X15=FFFFFFFF X00=00000000 addi    t3,a5,0
PC=0000027C [00000E93] X29=00000000 X00=00000000 X00=00000000 addi    t4,zero,0
PC=00000280 [FC842783] X15=FFFFFFFF X08=00500000 X08=00500000 lw      a5,-56(s0/fp)
PC=00000284 [00078313] X06=FFFFFFFF X15=FFFFFFFF X00=00000000 addi    t1,a5,0
PC=00000288 [00000393] X07=00000000 X00=00000000 X00=00000000 addi    t2,zero,0
PC=0000028C [026E8733] X14=00000000 X29=00000000 X06=FFFFFFFF mul     a4,t4,t1
PC=00000290 [03C387B3] X15=00000000 X07=00000000 X28=FFFFFFFF mul     a5,t2,t3
PC=00000294 [00F70733] X14=00000000 X14=00000000 X15=00000000 add     a4,a4,a5
PC=00000298 [026E07B3] X15=00000001 X28=FFFFFFFF X06=FFFFFFFF mul     a5,t3,t1
PC=0000029C [026E3FB3] X31=FFFFFFFE X28=FFFFFFFF X06=FFFFFFFF mulhu   t6,t3,t1
PC=000002A0 [00078F13] X30=00000001 X15=00000001 X00=00000000 addi    t5,a5,0
PC=000002A4 [01F707B3] X15=FFFFFFFE X14=00000000 X31=FFFFFFFE add     a5,a4,t6
PC=000002A8 [00078F93] X31=FFFFFFFE X15=FFFFFFFE X00=00000000 addi    t6,a5,0
PC=000002AC [FDE42023] X00=00000000 X08=00500000 X30=00000001 sw      t5,-64(s0/fp)
PC=000002B0 [FDF42223] X04=00000000 X08=00500000 X31=FFFFFFFE sw      t6,-60(s0/fp)
PC=000002B4 [FDE42023] X00=00000000 X08=00500000 X30=00000001 sw      t5,-64(s0/fp)
PC=000002B8 [FDF42223] X04=00000000 X08=00500000 X31=FFFFFFFE sw      t6,-60(s0/fp)
PC=000002BC [FCC42023] X00=00000000 X08=00500000 X12=00000000 sw      a2,-64(s0/fp)
PC=000002C0 [FCD42223] X04=00000000 X08=00500000 X13=00000000 sw      a3,-60(s0/fp)
PC=000002C4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=FFFFFFFE addi    a5,zero,-1
PC=000002C8 [FCF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-52(s0/fp)
PC=000002CC [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000002D0 [FCF42423] X08=00500000 X08=00500000 X15=00000001 sw      a5,-56(s0/fp)
PC=000002D4 [FCC42783] X15=FFFFFFFF X08=00500000 X12=00000000 lw      a5,-52(s0/fp)
PC=000002D8 [00078A13] X20=FFFFFFFF X15=FFFFFFFF X00=00000000 addi    s4,a5,0
PC=000002DC [00000A93] X21=00000000 X00=00000000 X00=00000000 addi    s5,zero,0
PC=000002E0 [FC842783] X15=00000001 X08=00500000 X08=00500000 lw      a5,-56(s0/fp)
PC=000002E4 [00078913] X18=00000001 X15=00000001 X00=00000000 addi    s2,a5,0
