PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [0FF00793] X15=000000FF X00=00000000 X31=00000000 addi    a5,zero,255
PC=000001D8 [FEF41723] X14=00000000 X08=00500000 X15=000000FF sh      a5,-18(s0/fp)
PC=000001DC [F0000793] X15=FFFFFF00 X00=00000000 X00=00000000 addi    a5,zero,-256
PC=000001E0 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFF00 sh      a5,-20(s0/fp)
PC=000001E4 [FEE45703] X14=000000FF X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=000001E8 [FEC45783] X15=0000FF00 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000001EC [40F707B3] X15=FFFF01FF X14=000000FF X15=0000FF00 sub     a5,a4,a5
PC=000001F0 [01079793] X15=01FF0000 X15=FFFF01FF X16=00000000 slli    a5,a5,16
PC=000001F4 [0107D793] X15=000001FF X15=01FF0000 X16=00000000 srli    a5,a5,16
PC=000001F8 [FEF41523] X10=00000000 X08=00500000 X15=000001FF sh      a5,-22(s0/fp)
PC=000001FC [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000200 [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=00000204 [FEF41723] X14=000000FF X08=00500000 X15=FFFFFFEC sh      a5,-18(s0/fp)
PC=00000208 [FE200793] X15=FFFFFFE2 X00=00000000 X02=004FFFE0 addi    a5,zero,-30
PC=0000020C [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFE2 sh      a5,-20(s0/fp)
PC=00000210 [FEE45703] X14=0000FFEC X08=00500000 X14=000000FF lhu     a4,-18(s0/fp)
PC=00000214 [FEC45783] X15=0000FFE2 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000218 [40F707B3] X15=0000000A X14=0000FFEC X15=0000FFE2 sub     a5,a4,a5
PC=0000021C [01079793] X15=000A0000 X15=0000000A X16=00000000 slli    a5,a5,16
PC=00000220 [0107D793] X15=0000000A X15=000A0000 X16=00000000 srli    a5,a5,16
PC=00000224 [FEF41523] X10=00000000 X08=00500000 X15=0000000A sh      a5,-22(s0/fp)
PC=00000228 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=0000022C [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=00000230 [FEF41723] X14=0000FFEC X08=00500000 X15=FFFFFFFE sh      a5,-18(s0/fp)
PC=00000234 [00200793] X15=00000002 X00=00000000 X02=004FFFE0 addi    a5,zero,2
PC=00000238 [FEF41623] X12=00000000 X08=00500000 X15=00000002 sh      a5,-20(s0/fp)
PC=0000023C [FEE45703] X14=0000FFFE X08=00500000 X14=0000FFEC lhu     a4,-18(s0/fp)
PC=00000240 [FEC45783] X15=00000002 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000244 [40F707B3] X15=0000FFFC X14=0000FFFE X15=00000002 sub     a5,a4,a5
PC=00000248 [01079793] X15=FFFC0000 X15=0000FFFC X16=00000000 slli    a5,a5,16
PC=0000024C [0107D793] X15=0000FFFC X15=FFFC0000 X16=00000000 srli    a5,a5,16
PC=00000250 [FEF41523] X10=00000000 X08=00500000 X15=0000FFFC sh      a5,-22(s0/fp)
PC=00000254 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000258 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=0000025C [FEF41723] X14=0000FFFE X08=00500000 X15=0000000A sh      a5,-18(s0/fp)
PC=00000260 [FFB00793] X15=FFFFFFFB X00=00000000 X27=00000000 addi    a5,zero,-5
PC=00000264 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFFB sh      a5,-20(s0/fp)
PC=00000268 [FEE45703] X14=0000000A X08=00500000 X14=0000FFFE lhu     a4,-18(s0/fp)
PC=0000026C [FEC45783] X15=0000FFFB X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000270 [40F707B3] X15=FFFF000F X14=0000000A X15=0000FFFB sub     a5,a4,a5
PC=00000274 [01079793] X15=000F0000 X15=FFFF000F X16=00000000 slli    a5,a5,16
PC=00000278 [0107D793] X15=0000000F X15=000F0000 X16=00000000 srli    a5,a5,16
PC=0000027C [FEF41523] X10=00000000 X08=00500000 X15=0000000F sh      a5,-22(s0/fp)
PC=00000280 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000284 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=00000288 [FEF41723] X14=0000000A X08=00500000 X15=00000005 sh      a5,-18(s0/fp)
PC=0000028C [FF600793] X15=FFFFFFF6 X00=00000000 X22=00000000 addi    a5,zero,-10
PC=00000290 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFF6 sh      a5,-20(s0/fp)
PC=00000294 [FEE45703] X14=00000005 X08=00500000 X14=0000000A lhu     a4,-18(s0/fp)
PC=00000298 [FEC45783] X15=0000FFF6 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000029C [40F707B3] X15=FFFF000F X14=00000005 X15=0000FFF6 sub     a5,a4,a5
PC=000002A0 [01079793] X15=000F0000 X15=FFFF000F X16=00000000 slli    a5,a5,16
PC=000002A4 [0107D793] X15=0000000F X15=000F0000 X16=00000000 srli    a5,a5,16
PC=000002A8 [FEF41523] X10=00000000 X08=00500000 X15=0000000F sh      a5,-22(s0/fp)
PC=000002AC [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=000002B0 [000017B7] X15=00001000 X00=00000000 X00=00000000 lui     a5,4096
PC=000002B4 [F0F78793] X15=00000F0F X15=00001000 X15=00001000 addi    a5,a5,-241
PC=000002B8 [FEF41723] X14=00000005 X08=00500000 X15=00000F0F sh      a5,-18(s0/fp)
PC=000002BC [FFFFF7B7] X15=FFFFF000 X31=00000000 X31=00000000 lui     a5,4294963200
PC=000002C0 [0F078793] X15=FFFFF0F0 X15=FFFFF000 X16=00000000 addi    a5,a5,240
PC=000002C4 [FEF41623] X12=00000000 X08=00500000 X15=FFFFF0F0 sh      a5,-20(s0/fp)
PC=000002C8 [FEE45703] X14=00000F0F X08=00500000 X14=00000005 lhu     a4,-18(s0/fp)
PC=000002CC [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002D0 [40F707B3] X15=FFFF1E1F X14=00000F0F X15=0000F0F0 sub     a5,a4,a5
PC=000002D4 [01079793] X15=1E1F0000 X15=FFFF1E1F X16=00000000 slli    a5,a5,16
PC=000002D8 [0107D793] X15=00001E1F X15=1E1F0000 X16=00000000 srli    a5,a5,16
PC=000002DC [FEF41523] X10=00000000 X08=00500000 X15=00001E1F sh      a5,-22(s0/fp)
PC=000002E0 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
