PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FD010113] X02=004FFFD0 X02=00500000 X16=00000000 addi    sp,sp,-48
PC=000001CC [02812623] X12=00000000 X02=004FFFD0 X08=00000000 sw      s0/fp,44(sp)
PC=000001D0 [03010413] X08=00500000 X02=004FFFD0 X16=00000000 addi    s0/fp,sp,48
PC=000001D4 [000107B7] X15=00010000 X02=004FFFD0 X00=00000000 lui     a5,65536
PC=000001D8 [FFF78793] X15=0000FFFF X15=00010000 X31=00000000 addi    a5,a5,-1
PC=000001DC [FEF42623] X12=00000000 X08=00500000 X15=0000FFFF sw      a5,-20(s0/fp)
PC=000001E0 [FFFF07B7] X15=FFFF0000 X30=00000000 X31=00000000 lui     a5,4294901760
PC=000001E4 [FEF42423] X08=00500000 X08=00500000 X15=FFFF0000 sw      a5,-24(s0/fp)
PC=000001E8 [FEC42703] X14=0000FFFF X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000001EC [FE842783] X15=FFFF0000 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000001F0 [00F707B3] X15=FFFFFFFF X14=0000FFFF X15=FFFF0000 add     a5,a4,a5
PC=000001F4 [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-28(s0/fp)
PC=000001F8 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000001FC [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=00000200 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFEC sw      a5,-20(s0/fp)
PC=00000204 [FE200793] X15=FFFFFFE2 X00=00000000 X02=004FFFD0 addi    a5,zero,-30
PC=00000208 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFE2 sw      a5,-24(s0/fp)
PC=0000020C [FEC42703] X14=FFFFFFEC X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000210 [FE842783] X15=FFFFFFE2 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000214 [00F707B3] X15=FFFFFFCE X14=FFFFFFEC X15=FFFFFFE2 add     a5,a4,a5
PC=00000218 [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFCE sw      a5,-28(s0/fp)
PC=0000021C [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000220 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=00000224 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFE sw      a5,-20(s0/fp)
PC=00000228 [00200793] X15=00000002 X00=00000000 X02=004FFFD0 addi    a5,zero,2
PC=0000022C [FEF42423] X08=00500000 X08=00500000 X15=00000002 sw      a5,-24(s0/fp)
PC=00000230 [FEC42703] X14=FFFFFFFE X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000234 [FE842783] X15=00000002 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000238 [00F707B3] X15=00000000 X14=FFFFFFFE X15=00000002 add     a5,a4,a5
PC=0000023C [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=00000240 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000244 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=00000248 [FEF42623] X12=00000000 X08=00500000 X15=0000000A sw      a5,-20(s0/fp)
PC=0000024C [FFB00793] X15=FFFFFFFB X00=00000000 X27=00000000 addi    a5,zero,-5
PC=00000250 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFB sw      a5,-24(s0/fp)
PC=00000254 [FEC42703] X14=0000000A X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000258 [FE842783] X15=FFFFFFFB X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=0000025C [00F707B3] X15=00000005 X14=0000000A X15=FFFFFFFB add     a5,a4,a5
PC=00000260 [FEF42223] X04=00000000 X08=00500000 X15=00000005 sw      a5,-28(s0/fp)
PC=00000264 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000268 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=0000026C [FEF42623] X12=00000000 X08=00500000 X15=00000005 sw      a5,-20(s0/fp)
PC=00000270 [FF600793] X15=FFFFFFF6 X00=00000000 X22=00000000 addi    a5,zero,-10
PC=00000274 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFF6 sw      a5,-24(s0/fp)
PC=00000278 [FEC42703] X14=00000005 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=0000027C [FE842783] X15=FFFFFFF6 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000280 [00F707B3] X15=FFFFFFFB X14=00000005 X15=FFFFFFF6 add     a5,a4,a5
PC=00000284 [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFFB sw      a5,-28(s0/fp)
PC=00000288 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=0000028C [0F0F17B7] X15=0F0F1000 X30=00000000 X16=00000000 lui     a5,252645376
PC=00000290 [F0F78793] X15=0F0F0F0F X15=0F0F1000 X15=0F0F1000 addi    a5,a5,-241
PC=00000294 [FEF42623] X12=00000000 X08=00500000 X15=0F0F0F0F sw      a5,-20(s0/fp)
PC=00000298 [F0F0F7B7] X15=F0F0F000 X01=000001C0 X15=0F0F0F0F lui     a5,4042321920
PC=0000029C [0F078793] X15=F0F0F0F0 X15=F0F0F000 X16=00000000 addi    a5,a5,240
PC=000002A0 [FEF42423] X08=00500000 X08=00500000 X15=F0F0F0F0 sw      a5,-24(s0/fp)
PC=000002A4 [FEC42703] X14=0F0F0F0F X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000002A8 [FE842783] X15=F0F0F0F0 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002AC [00F707B3] X15=FFFFFFFF X14=0F0F0F0F X15=F0F0F0F0 add     a5,a4,a5
PC=000002B0 [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-28(s0/fp)
PC=000002B4 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000002B8 [AAAAB7B7] X15=AAAAB000 X21=00000000 X10=00000000 lui     a5,2863312896
PC=000002BC [AAA78793] X15=AAAAAAAA X15=AAAAB000 X10=00000000 addi    a5,a5,-1366
PC=000002C0 [FEF42623] X12=00000000 X08=00500000 X15=AAAAAAAA sw      a5,-20(s0/fp)
PC=000002C4 [555557B7] X15=55555000 X10=00000000 X21=00000000 lui     a5,1431654400
PC=000002C8 [55578793] X15=55555555 X15=55555000 X21=00000000 addi    a5,a5,1365
PC=000002CC [FEF42423] X08=00500000 X08=00500000 X15=55555555 sw      a5,-24(s0/fp)
PC=000002D0 [FEC42703] X14=AAAAAAAA X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000002D4 [FE842783] X15=55555555 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002D8 [00F707B3] X15=FFFFFFFF X14=AAAAAAAA X15=55555555 add     a5,a4,a5
PC=000002DC [FEF42223] X04=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-28(s0/fp)
PC=000002E0 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000002E4 [FE042023] X00=00000000 X08=00500000 X00=00000000 sw      zero,-32(s0/fp)
PC=000002E8 [FE042783] X15=00000000 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000002EC [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000002F0 [FEF42023] X00=00000000 X08=00500000 X15=00000001 sw      a5,-32(s0/fp)
PC=000002F4 [FE042783] X15=00000001 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000002F8 [00278793] X15=00000003 X15=00000001 X02=004FFFD0 addi    a5,a5,2
PC=000002FC [FEF42023] X00=00000000 X08=00500000 X15=00000003 sw      a5,-32(s0/fp)
PC=00000300 [FE042783] X15=00000003 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=00000304 [00378793] X15=00000006 X15=00000003 X03=00000000 addi    a5,a5,3
